2023-03-04T18-20-55: LogOut_File: : logfile started
2023-03-04T18-20-55: Net Status: low-level initialize success.
2023-03-04T18-20-55: Note: this version (1/29/2017) has new data fields added
2023-03-04T18-20-55: time = time since start of game in ms.
2023-03-04T18-20-55: address = address of IP address
2023-03-04T18-20-55: incoming = total size of messages set to me in bytes. Spikes can indicate lag.
2023-03-04T18-20-55: outgoing = total size of messages set from me in bytes. Spikes can indicate lag.
2023-03-04T18-20-55: app_ctos = client to server bytes delta excluding overheads (app data only)
2023-03-04T18-20-55: app_stoc = server to client bytes delta excluding overheads (app data only)
2023-03-04T18-20-55: loss = number of packets lost. Can indicate lags.  Some node on the network is dropping packets or taking to long and we have to resend them.
2023-03-04T18-20-55: sent = number of packets sent. Spikes can indicate lag.
2023-03-04T18-20-55: ping = how long it takes for a packet to get back and forth. Spikes can indicate lag.
2023-03-04T18-20-55: variance = how much the ping is changing from avg ping. Spikes can indicate lag.
2023-03-04T18-20-55: reliable delayed = This occurs when we drop reliable packets from sending this frame because we are sending to much data. Unreliable are more likely to be dropped than reliable.
2023-03-04T18-20-55: unreliable delayed = This occurs when we drop unreliable packets from sending this frame because we are sending to much data.
2023-03-04T18-20-55: app update delayed = This occurs when the app is taking to long to run code caused by network packets (ie CPU) and packets are delayed until the next frame
2023-03-04T18-20-55: Time spent in critical section (frame) = This is the time the network thread is blocking the main thread from doing anything.
2023-03-04T18-20-55: Latency in Window = The average Latency in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Packet Loss percentage in Window = The packet loss percentage of Reliable packets during this time slice
2023-03-04T18-20-55: Jitter in Window = The average Jitter in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Overall Latency Min = The lowest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T18-20-55: Overall Latency Max = The largest Latency seen in ms. of Reliable packets up to this point in time
2023-03-04T18-20-55: Latency Min in Window = The lowest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Latency Max in Window = The largest Latency seen in ms. of Reliable packets during this time slice
2023-03-04T18-20-55: Latency packet samples = number of packets used in determining average latency from start of game
2023-03-04T18-20-55: Jitter packet samples = number of packets used in determining average jitter from start of game
2023-03-04T18-20-55: reconnect = flag to indicate one or more reconnects occurred
2023-03-04T18-20-55: [time], [address], [incoming], [outgoing], [app_ctos], [app_stoc], [loss], [sent], [ping], [variance], [reliable delayed], [unreliable delayed], [app update delayed], [Time spent in critical section (frame)], [Latency in Window], [Packet Loss percentage in Window], [Jitter in Window], [Overall Latency Min], [Overall Latency Max], [Latency Min in Window], [Latency Maxin Window], [Latency packet Samples], [Jitter Packet Samples],[reconnect]
10025,X.X.X.X,17964,7283,7283,17964,0,40,90,0,0,0,0,0,90,0.000000,2,90,90,90,90,35,35,1
20031,X.X.X.X,51753,20593,13310,33789,0,108,124,0,0,0,0,0,124,0.000000,4,124,124,124,124,103,103,0
30034,X.X.X.X,64089,34144,13551,12336,0,181,133,0,0,0,0,0,133,0.000000,10,133,133,133,133,173,173,0
40041,X.X.X.X,77498,42023,7879,13409,0,221,132,0,0,0,0,0,132,0.000000,10,132,132,132,132,216,216,0
50045,X.X.X.X,86937,49425,7402,9439,0,255,130,0,0,0,0,0,130,0.000000,7,130,130,130,130,250,250,0
60045,X.X.X.X,97116,56364,6939,10179,0,289,132,0,0,0,0,0,132,0.000000,8,132,132,132,132,283,283,0
70045,X.X.X.X,106325,62713,6349,9209,0,322,132,0,0,0,0,0,132,0.000000,13,132,132,132,132,317,317,0
80052,X.X.X.X,144905,70051,7338,38580,0,378,131,0,0,0,0,0,131,0.000000,7,131,131,131,131,374,374,0
90056,X.X.X.X,156451,74270,4219,11546,0,427,128,0,0,0,0,0,128,0.000000,5,128,128,128,128,422,422,0
100059,X.X.X.X,174924,81608,7338,18473,0,529,126,0,0,0,0,0,126,0.000000,3,126,126,126,126,522,522,0
110066,X.X.X.X,198974,92846,11238,24050,0,693,149,0,0,0,0,0,149,0.000000,6,149,149,149,149,687,687,0
120068,X.X.X.X,231723,102394,9548,32749,0,818,129,0,0,0,0,0,129,0.000000,5,129,129,129,129,810,810,0
130072,X.X.X.X,296517,120751,18357,64794,0,1070,127,0,0,0,0,0,127,0.000000,4,127,127,127,127,1063,1063,0
140074,X.X.X.X,354143,136494,15743,57626,0,1277,127,0,0,0,0,0,127,0.000000,3,127,127,127,127,1269,1269,0
150074,X.X.X.X,397368,151608,15114,43225,0,1488,134,0,0,0,0,0,134,0.000000,9,134,134,134,134,1481,1481,0
160074,X.X.X.X,446664,168101,16493,49296,0,1715,131,0,0,0,0,0,131,0.000000,7,131,131,131,131,1709,1709,0
170080,X.X.X.X,505225,184734,16633,58561,0,1936,128,0,0,0,0,0,128,0.000000,4,128,128,128,128,1929,1929,0
180086,X.X.X.X,578737,203009,18275,73512,0,2180,129,0,0,0,0,0,129,0.000000,7,129,129,129,129,2172,2172,0
190090,X.X.X.X,656662,222555,19546,77925,0,2444,131,0,0,0,0,0,131,0.000000,4,131,131,131,131,2436,2436,0
200091,X.X.X.X,781787,244472,21917,125125,0,2728,130,0,0,0,0,0,130,0.000000,3,130,130,130,130,2719,2719,0
210098,X.X.X.X,896968,266559,22087,115181,0,3025,129,0,0,0,0,0,129,0.000000,5,129,129,129,129,3017,3017,0
