game.frametime_average,game.frametime_variance,game.time,network.acks_received,network.acks_sent,network.adapter,network.bytes_received,network.bytes_sent,network.connects,network.connects_received,network.connects_rejected,network.connects_sent,network.disconnects,network.messages_limited,network.messages_received,network.messages_redundant,network.messages_resent,network.messages_sent,network.never_connected,network.packets_acked,network.packets_limited,network.packets_lost,network.packets_outofseq,network.packets_received,network.packets_sent,network.peer_address,network.peer_port,network.processing_time,network.reconnects,network.reconnects_rejected,network.rtt_average,network.rtt_jitter,network.status,player.id,stats.duration,stats.version,
0.031542,0.000010,0.000000,35,133,Ethernet,17964,7283,1,4,0,4,0,0,442,0,0,37,0,35,0,0,0,168,173,162.249.78.111,5277,0.009696,0,0,0.120239,0.003963,Connected,150742302,10.025607,7,
0.006237,0.000427,0.077444,68,222,Ethernet,33789,13310,0,0,0,0,0,0,4548,0,0,87,0,68,0,0,0,290,290,162.249.78.111,5277,0.008123,0,0,0.122345,0.005201,Connected,150742302,10.006298,7,
0.005643,0.000008,0.077444,70,164,Ethernet,12336,13551,0,0,0,0,0,0,548,0,0,75,0,70,0,0,0,234,237,162.249.78.111,5277,0.005987,0,0,0.124452,0.009230,Connected,150742302,10.003070,7,
0.005590,0.000007,0.077444,43,190,Ethernet,13409,7879,0,0,0,0,0,0,575,0,0,40,0,43,0,0,0,233,230,162.249.78.111,5277,0.004392,0,0,0.124067,0.009223,Connected,150742302,10.006038,7,
0.005589,0.000007,0.077444,34,209,Ethernet,9439,7402,0,0,0,0,0,0,301,0,0,34,0,34,0,0,0,243,243,162.249.78.111,5277,0.004443,0,0,0.122553,0.006025,Connected,150742302,10.004227,7,
0.005602,0.000007,0.077444,33,193,Ethernet,10179,6939,0,0,0,0,0,0,416,0,0,35,0,33,0,0,0,226,227,162.249.78.111,5277,0.004289,0,0,0.126989,0.010228,Connected,150742302,10.000439,7,
0.005615,0.000007,0.077444,34,175,Ethernet,9209,6349,0,0,0,0,0,0,369,0,0,33,0,34,0,0,0,209,208,162.249.78.111,5277,0.004776,0,0,0.124787,0.013760,Connected,150742302,10.000024,7,
0.009798,0.000195,9.756542,57,165,Ethernet,38580,7338,0,0,0,0,0,0,1012,0,0,63,0,57,0,0,0,222,221,162.249.78.111,5277,0.005589,0,0,0.125709,0.007563,Connected,150742302,10.006477,7,
0.007041,0.000004,19.762716,48,69,Ethernet,11546,4219,0,0,0,0,0,0,309,0,0,55,0,48,0,0,0,117,118,162.249.78.111,5277,0.003046,0,0,0.120549,0.005026,Connected,150742302,10.004647,7,
0.006995,0.000002,29.765131,100,126,Ethernet,18473,7338,0,0,0,0,0,0,506,0,0,119,0,100,0,0,0,226,228,162.249.78.111,5277,0.006038,0,0,0.120761,0.003326,Connected,150742302,10.002509,7,
0.006973,0.000000,39.770252,164,181,Ethernet,24050,11238,0,0,0,0,0,0,578,0,0,189,0,165,0,0,0,345,345,162.249.78.111,5277,0.008388,0,0,0.138787,0.008141,Connected,150742302,10.006830,7,
0.007014,0.000001,49.772888,123,165,Ethernet,32749,9548,0,0,0,0,0,0,762,0,0,160,0,123,0,0,0,288,290,162.249.78.111,5277,0.006963,0,0,0.129830,0.006032,Connected,150742302,10.002224,7,
0.007085,0.000000,59.778793,253,282,Ethernet,64794,18357,0,0,0,0,0,0,1406,0,0,329,0,253,0,0,0,535,534,162.249.78.111,5277,0.014228,0,0,0.120896,0.004371,Connected,150742302,10.003890,7,
0.007058,0.000001,69.781387,206,255,Ethernet,57626,15743,0,0,0,0,0,0,1324,0,0,262,0,206,0,0,0,461,462,162.249.78.111,5277,0.011778,0,0,0.120619,0.003642,Connected,150742302,10.001800,7,
0.007108,0.000005,79.781998,212,216,Ethernet,43225,15114,0,0,0,0,0,0,943,0,0,288,0,212,0,0,0,428,427,162.249.78.111,5277,0.010750,0,0,0.124064,0.007672,Connected,150742302,10.000299,7,
0.007038,0.000000,89.782722,228,237,Ethernet,49296,16493,0,0,0,0,0,0,954,0,0,312,0,228,0,0,0,465,464,162.249.78.111,5277,0.012250,0,0,0.124036,0.007285,Connected,150742302,10.000333,7,
0.007183,0.000001,99.789696,220,284,Ethernet,58561,16633,0,0,0,0,0,0,1444,0,0,289,0,220,0,0,0,504,505,162.249.78.111,5277,0.012947,0,0,0.121740,0.005149,Connected,150742302,10.006136,7,
0.007198,0.000001,109.797562,243,295,Ethernet,73512,18275,0,0,0,0,0,0,2207,0,0,339,0,243,0,0,0,538,539,162.249.78.111,5277,0.014319,0,0,0.123289,0.007677,Connected,150742302,10.005632,7,
0.007135,0.000000,119.801537,264,306,Ethernet,77925,19546,0,0,0,0,0,0,2102,0,0,361,0,264,0,0,0,570,570,162.249.78.111,5277,0.014920,0,0,0.123676,0.006781,Connected,150742302,10.003549,7,
0.007119,0.000000,129.803192,283,368,Ethernet,125125,21917,0,0,0,0,0,0,3190,0,0,384,0,283,0,0,0,651,652,162.249.78.111,5277,0.017318,0,0,0.123614,0.005336,Connected,150742302,10.001692,7,
0.007342,0.000001,139.809052,298,354,Ethernet,115181,22087,0,0,0,0,0,0,2990,0,0,397,0,298,0,0,0,652,651,162.249.78.111,5277,0.017743,0,0,0.122291,0.003966,Connected,150742302,10.006633,7,
0.007414,0.000001,149.819305,287,341,Ethernet,107234,21157,0,0,0,0,0,0,2889,0,0,388,0,287,0,0,0,628,627,162.249.78.111,5277,0.017687,0,0,0.120923,0.005019,Connected,150742302,10.009327,7,
0.007473,0.000001,159.826065,303,387,Ethernet,138006,23421,0,0,0,0,0,0,3535,0,0,412,0,303,0,0,0,690,690,162.249.78.111,5277,0.018608,0,0,0.121495,0.005144,Connected,150742302,10.006194,7,
0.007444,0.000001,169.830750,280,352,Ethernet,116111,21566,0,0,0,0,0,0,3155,0,0,391,0,280,0,0,0,632,634,162.249.78.111,5277,0.017040,0,0,0.122989,0.007351,Connected,150742302,10.004256,7,
0.007250,0.000001,179.836624,295,335,Ethernet,102350,21687,0,0,0,0,0,0,2680,0,0,402,0,295,0,0,0,630,631,162.249.78.111,5277,0.017194,0,0,0.122589,0.005628,Connected,150742302,10.005528,7,
0.007299,0.000001,189.843735,288,373,Ethernet,129429,22352,0,0,0,0,0,0,3583,0,0,399,0,288,0,0,0,661,658,162.249.78.111,5277,0.017864,0,0,0.123649,0.004501,Connected,150742302,10.006646,7,
0.007157,0.000001,199.849396,270,322,Ethernet,97595,19207,0,0,0,0,0,0,2712,0,0,363,0,270,0,0,0,592,593,162.249.78.111,5277,0.016528,0,0,0.122080,0.004586,Connected,150742302,10.004839,7,
0.007192,0.000001,209.854492,224,317,Ethernet,84866,17736,0,0,0,0,0,0,2883,0,0,297,0,224,0,0,0,541,542,162.249.78.111,5277,0.014832,0,0,0.123345,0.004270,Connected,150742302,10.004649,7,
0.006987,0.000000,219.859802,206,294,Ethernet,70147,15834,0,0,0,0,0,0,2157,0,0,254,0,206,0,0,0,500,497,162.249.78.111,5277,0.013014,0,0,0.120418,0.003639,Connected,150742302,10.004958,7,
0.007029,0.000000,229.868561,212,309,Ethernet,80366,16674,0,0,0,0,0,0,2427,0,0,283,0,212,0,0,0,521,520,162.249.78.111,5277,0.013898,0,0,0.120362,0.004421,Connected,150742302,10.009125,7,
0.007110,0.000000,239.880203,265,304,Ethernet,80580,19171,0,0,0,0,0,0,2510,0,0,348,0,265,0,0,0,569,572,162.249.78.111,5277,0.015718,0,0,0.122405,0.005304,Connected,150742302,10.011004,7,
0.007157,0.000000,249.885284,284,343,Ethernet,100211,21052,0,0,0,0,0,0,2842,0,0,364,0,284,0,0,0,627,626,162.249.78.111,5277,0.017010,0,0,0.119217,0.003023,Connected,150742302,10.004861,7,
0.007196,0.000000,259.887512,269,339,Ethernet,104504,20588,0,0,0,0,0,0,3043,0,0,354,0,271,0,0,0,608,611,162.249.78.111,5277,0.016545,0,0,0.120270,0.004455,Connected,150742302,10.001898,7,
0.007062,0.000000,269.895050,285,338,Ethernet,104705,21027,0,0,0,0,0,0,2935,0,0,370,0,285,0,0,0,623,623,162.249.78.111,5277,0.016997,0,0,0.120031,0.004069,Connected,150742302,10.006897,7,
0.007176,0.000000,279.899200,284,357,Ethernet,117330,21527,0,0,0,0,0,0,3333,0,0,374,0,284,0,0,0,641,640,162.249.78.111,5277,0.017808,0,0,0.120516,0.003841,Connected,150742302,10.003318,7,
0.007396,0.000001,289.906128,295,359,Ethernet,120369,22292,0,0,0,0,0,0,3332,0,0,405,0,295,0,0,0,654,656,162.249.78.111,5277,0.018157,0,0,0.119222,0.003306,Connected,150742302,10.006499,7,
0.007352,0.000001,299.912415,295,338,Ethernet,101977,21569,0,0,0,0,0,0,2517,0,0,393,0,295,0,0,0,633,632,162.249.78.111,5277,0.017017,0,0,0.119461,0.003413,Connected,150742302,10.006013,7,
0.007425,0.000001,309.914093,293,368,Ethernet,119702,22151,0,0,0,0,0,0,3316,0,0,390,0,293,0,0,0,661,661,162.249.78.111,5277,0.017972,0,0,0.120225,0.003918,Connected,150742302,10.001428,7,
0.007376,0.000004,319.916504,287,353,Ethernet,111692,21653,0,0,0,0,0,0,2836,0,0,387,0,287,0,0,0,640,640,162.249.78.111,5277,0.017183,0,0,0.119415,0.003032,Connected,150742302,10.002088,7,
0.007370,0.000001,329.917969,287,357,Ethernet,114843,22206,0,0,0,0,0,0,2888,0,0,415,0,287,0,0,0,644,644,162.249.78.111,5277,0.017933,0,0,0.122585,0.004123,Connected,150742302,10.001208,7,
